location_id,location_name,location_district,facility_code,facility_name
59,Chikole Dispensary,Mangochi,MG200185,Chikole Dispensary
1121,Chikowa Health Center,Ntcheu,NT120186,Chikowa Health Center
60,Chikowa Health Centre (Blantyre),Blantyre,BT240187,Chikowa Health Centre (Blantyre)
61,Chikowa Health Centre (Lilongwe),Lilongwe,LL040188,Chikowa Health Centre (Lilongwe)
1078,Chikuli Private Clinic,CHPC,MU210189,Chikuli Private Clinic
63,Chikwawa District Health Office,Chikwawa,CK270193,Chikwawa District Health Office
65,Chikwawa Health Area,Chikwawa,,Chikwawa Health Area
66,Chikwawa Health District,Chikwawa,CK270193,Chikwawa Health District
71,Chileka Health Centre (Lilongwe),Lilongwe,LL040203,Chileka Health Centre (Lilongwe)
72,Chileka SDQ Health Centre (Blantyre),Blantyre,BT240204,Chileka SDQ Health Centre (Blantyre)
952,Chilimba City Clinic,Blantyre,BT240207,Chilimba City Clinic
73,Chilipa Health Centre (Mangochi),Mangochi,MG200211,Chilipa Health Centre (Mangochi)
74,Chilipa Health Centre (Zomba),Zomba,ZA230212,Chilipa Health Centre (Zomba)
1018,Chilonga Health Centre (Mangochi),Mangochi,MG200218,Chilonga Health Centre (Mangochi)
77,Chilumba Garrison Dispensary,Karonga,KA150220,Chilumba Garrison Dispensary
969,Chimatilo Health Centre,Balaka,BK170224,Chimatilo Health Centre
83,Chimvu Health Centre,Thyolo,TH310230,Chimvu Health Centre
84,Chimwala Dispensary,Lilongwe,LL040231,Chimwala Dispensary
1022,Chimwawa Health Centre (Chiradzulu),Chiradzulu,CR260233,Chimwawa Health Centre (Chiradzulu)
987,Chinamwali Private Clinic (Zomba),Zomba,ZA230235,Chinamwali Private Clinic (Zomba)
85,Ching'Oma Dispensary,Nsanje,NS300236,Ching'Oma Dispensary
87,Chingazi Health Centre,Thyolo,TH310237,Chingazi Health Centre
88,Chinguluwe Health Centre (Ntchisi),Ntchisi,NT080239,Chinguluwe Health Centre (Ntchisi)
89,Chinguluwe Health Centre (Salima),Salima,SA090240,Chinguluwe Health Centre (Salima)
91,Chinsapo Dispensary,Lilongwe,LL040244,Chinsapo Dispensary
97,Chipini Health Centre,Zomba,ZA230254,Chipini Health Centre
99,Chiponde Health Centre,Mangochi,MG200257,Chiponde Health Centre
872,Chiponde Health Post,Lilongwe,,Chiponde Health Post
102,Chipwanya St Josephs Health Centre,Dedza,,Chipwanya St Josephs Health Centre
103,Chiradzulu District Health Office,Chiradzulu,,Chiradzulu District Health Office
105,Chiradzulu Health Area,Chiradzulu,,Chiradzulu Health Area
106,Chiradzulu Health District,Chiradzulu,CR260261,Chiradzulu Health District
974,Chiringa CHAM Health Centre (Phalombe),Phalombe,PH220264,Chiringa CHAM Health Centre (Phalombe)
107,Chiringa Dispensary,Phalombe,,Chiringa Dispensary
977,Chiringa Health Centre (Phalombe),Phalombe,,Chiringa Health Centre (Phalombe)
992,Chisi Health Centre (Zomba),Zomba,ZA230270,Chisi Health Centre (Zomba)
111,Chisinga Dispensary,Kasungu,,Chisinga Dispensary
115,Chitekesa Health Centre,Phalombe,PH220283,Chitekesa Health Centre
899,Chithumba Dispensary,Chikwawa,CK270291,Chithumba Dispensary
118,Chithumba Maternity,Chikwawa,,Chithumba Maternity
120,Chitipa District Health Office,Chitipa,CP060293,Chitipa District Health Office
122,Chitipa Health Area,Chitipa,,Chitipa Health Area
123,Chitipa Health District,Chitipa,,Chitipa Health District
125,Chiumbangame Health Centre,Mangochi,MG200296,Chiumbangame Health Centre
1008,Chiunda Health Centre (Mangochi),Mangochi,MG200297,Chiunda Health Centre (Mangochi)
1032,Chizolowondo Health Centre (Dowa),Dowa,DA020306,Chizolowondo Health Centre (Dowa)
