Facility Name,EMR_Facility_ID,OrgUnit ID
Chikowa Dispensary,NA,fwew5LFgo0P
Chikowa Health Centre (Blantyre),60,Keuq4t91SIs
Chikowa Health Centre (Lilongwe),61,TJjz5jiFlqF
Chikuse Health Centre,62,Y4kaJs4jbod
Chikwawa District Hospital,64,JQw6oDs7C6C
Chikweo Health Centre,67,teLlh1E6CxB
Chikwina Health Centre,68,QlnCjd3M0E1
Chilambwe Health Centre,69,bNcnSc6bFll
Chilanga Health Centre,NA,Q6dBdTXnxWu
Chilaweni,NA,WehVfN1t0Aa
Child Legacy Health Centre,NA,jg1ZTgMBMGt
Chileka Health Centre,70,OXaQtzbzMoy
Chileka Health Centre (Lilongwe),71,iiBtWzxLMUo
Chileka Health CentreLilongwe,NA,s0o7fcIgDh5
Chileka Sda Health Centre,72,v0GaaWRKm61
Chilengo Dispensary,NA,WwPvmR6RGUw
Chilipa Health Centre (Mangochi),73,fwUSM7rJllv
Chilipa Health Centre (Zomba),74,biJPVK5IRJn
Chilobwe Majiga Health Centre,75,Xx5fmiIR0fW
Chilomoni BLM Clinic,NA,kdClQ6xlOfO
Chilomoni Health Centre,76,DAueKP2YUvT
Chilomoni Private Clinic,965,J7tslE7mZww
Chilonga Health Centre,NA,Px30WvhGQQf
Chilumba Barracks Health Centre,77,Z6krawIPDu7
Chilumba Rural Hospital,78,uHPXBdcz85N
Chima Health Centre,NA,zrabwOPiaCV
Chimaliro Health Centre,79,WraUiby57xZ
Chimatiro Health Centre,NA,Qt4jxB7puZZ
Chimbalanga Health Centre,80,JCrM0zdamqT
Chimembe Health Centre,81,ZaZEarjsHQX
Chimoto Health Centre,82,VbO2d6WVW6Q
Chimvu Health Centre,82,G5HX22BSHz2
Chimwala Dispensary,83,REoFvVbcLG0
Chimwamkango Dispensary,84,ZOUGIF58iaF
Chimwawa Health C,NA,IeJAi0sDcso
Chinamwali Private Clinic,987,alk7M7pmalI
Ching'oma Dispensary,85,AnxpWhqWpXn
Chingale Health Centre,86,o0hXXoxJnMI
Chingazi Health Centre,87,mTERmNgVCmE
Chinguluwe Health Centre (Ntchisi),88,Pl1TeNOgCAr
Chinguluwe Health Centre (Salima),89,EiQqa3YIjqD
Chinkhwiri Health Centre,90,RTw32nxbRoB
Chinthebe Dispensary,NA,P4Z5FpCJ4Ri
Chintheche Rural Hospital,92,jkmHTPe5MLQ
Chinthembwe Health Centre,93,QZm8o1i8tW4
Chinyama Dispensary,94,dCOqnRxMAXD
Chinyama Health Centre,94,TxWRIMbBOpS
Chiole Dispensary,NA,jnrlLIULfCR
Chioshya Health Centre,95,RNuiMEnAfC1
Chipho Health Centre,96,xJQqTtpdsHP
Chipini Health Centre,97,imXmafCgb5n
Chipoka Health Centre,98,wrDImy8FHpR
Chiponde Health Centre (Mangochi),99,VphQvehsaVR
Chipumi Health Centre,100,eNs19G9xMyc
Chipwaila Health Centre,101,pkMXL4XF9ie
Chipwanya St Josephs Health Centre,102,WiVCsIgUw2D
Chiradzulu District Hospital,104,lsrGqZfICKm
Chirimba Health Centre,NA,tDldFfYwnS1
Chiringa Health Centre,107,pmteRCqzbeC
Chiringa Maternity,108,sqMFC2sNuGZ
Chisala Health Centre,109,QX85XzKEJjg
Chisansu Health Centre,NA,u57H3XRjoRa
Chisepo Health Centre,110,pw9cneMv5fA
Chisi Health Centre,NA,rtb22Ro8Gez
Chisitu Health Centre,112,PWPeexIOdmn
Chisoka Health Center (Closed),NA,Lb0qop7gLSH
Chisoka Health Centre,918,T3MNLfsBtT4
Chisunga Dispensary,NA,LdZk69me50d
Chitala Health Centre,113,d92FGpiO9lP
Chitawira Private Hospital,930,mTaqm2jDRGp
Chitedze Health Centre,114,Xc3odqjv7h0
Chitekesa Health Centre,115,u4mqH5iShLL
Chitera Health Centre,116,mxsHHN4zZft
Chitheka Health Centre,117,Sf6KvkaT3UQ
Chithumba Health Centre,907,KkApQFpVIaQ
Chitimba Health Centre,119,rdHVTY312fc
Chitipa District Hospital,121,qzGX4XdWufs
Chitowo Health Centre,124,b3OduOhZKuu
Chitsimuka Health Centre,NA,AMklHWTt6sX
Chiumbangame Health Centre,125,ybAxvKHkzhK
Chiunda Dispensary,NA,y87TEluIKWT
Chiunjiza Health Centre,126,HTfgCPyMHUx
Chiwamba Health Centre,127,RDvTBoMA8m4
Chiwe Health Centre,128,vCGIve5RtyE
Chiwoza Health Centre,NA,ivq1pAeZs5o
Chiyendausiku Health Centre,54,HrQHweMv09u
Chizolowondo Health Centre,NA,e1HOrMxNhpf
Chizumulo (St Marys) Health Centre,130,Kzo3T3VQUwH
Chizumulo St Marys Health Centre,130,XXjX57Xslam
Choma Health Centre,131,cIJ6LCvgpw0
Chonde Rural Hospital,132,TusMbw27jzb
Chongoni Health Centre,133,LkjXIWw5W9v
Chulu Health Centre,134,n18VsHigwU8
City Assembly Dispensary,135,cKd7jidUXBo
City Centre Clinic,NA,lAWnwgQl9RP
City Clinic Zomba,989,DMxPrQcg4z4
Cobbe Barracks Hospital,136,rzzi29nBvbs
Comfort Health Centre,967,JaTdpYBBV5m
Concerned Youth Organisation,NA,VDu3RkKQEZb
COPRED,NA,w2BaEat71Qr
Daeyang Luke Hospital,853,LKsJWFXsxOB
Dai Halima (Bangwe Madina),964,OV47ojciSpV
Dambe Health Centre,892,EiLdri7MySb
David Gordon Memorial Hospital (Livingstonia Mission Hospital),865,FoWBNiRRWnB
David Gordon Memorial Hospital(closed),NA,Jkj2HAJ5db9
Dedza District Hospital,138,K5sEB29YW3W
Diamphwe Health Centre,142,BWBOtEvaMkr
Dickson Health Centre,143,aKJzwDfSJqM
Didi Health Center (Closed),NA,AJu1RgcA1JG
Didi Health Centre,917,AkP3EOq0hGk
Discovery Medi Clinic,859,saJaR27j6yW
Dolo Health Centre,144,SOwb9qUKJnt
Domasi College Clinic,NA,mZRwUTkeUC1
Domasi Rural Hospital,145,U0YwDhBOZeY
Doviko Dispensary,146,kG4jZtoHH8f
Dowa District Hospital,148,F4aQvPL4c5a
Dr David Livingstone Memorial Clinic,865,KvtV3ZtJGyR
Dr Msachi's Clinic,824,O7D48utczxD
Dream,NA,xhINxzjVJ0c
Dwambazi Rural Hospital,152,GFQSwXAzql8
Dwangwa Cane Growers Limited Dispensary,153,w6VRxc89b5K
Dwangwa Health Centre,154,n89uKexauZq
Dzalanyama Dispensary,155,pveDNK0q3s7
Dzaleka Refugee Camp Health Centre,156,b1RogeavIPD
Dzenje Health Centre,157,nMp06ehwoOX
Dzenza Health Centre,158,hpUbeZgjQkx
Dzimbiri Dispensary,NA,phlM33pe5Bz
Dzindevu Health Centre,159,QL1C4nvZVLn
Dziwe Health Centre,928,axZoBBHwZo2
Dziwe Health Centre,928,hnbxxugq3Ds
Dzonzi-Mvai Health Centre,161,fH7hgQtTEvy
Dzoole Health Centre,162,lykzV97DJgq
Dzunje Dispensary,163,mxlb6XxX6cp
Edingeni Rural Hospital,164,gWTmNAQxkV8
Ehehleni Dispensary,165,RdbkvuyiIKf
Ekwaiweni Health Centre,166,AlGl0pjBwFS
Ekwendeni Mission Hospital,167,jcv5nI6bzTq
El-barakah Private Clinic,960,NFzZGVmGCoN
Embangweni Hospital,168,ySElKKfe6yc
Emfeni Health Centre,169,ihG7TCzUsYI
Emsizini Health Centre,170,HFKrnnX40ZR
Endindeni Health Centre,171,J3iNTezM5iw
Engucwini Health Centre,172,Tt5yMX4YCYJ
Enukweni Health Centre,NA,nmptn9bUYXv
Enukweni Mission Health Centre,173,OvpduRMmYdH
Escom Clinic Lilongwe,855,ahOuLxBrycV
Escom Clinic Mzuzu,819,xmlMKVGErR7
Euthini Rural Hospital,174,a7zgH8mf2GX
Eva Demaya Centre,813,crKYTgv7r7B
ExteEnding Hope Clinic,NA,uy5BU4EEAG8
Falls Banja La Mtsogolo Dispensary,175,vYMYW6T4t1J
Fanuel Dispensary,NA,faV6jPVs9bj
Fidelity Private Clinic,NA,G1n34alnula
Fpam Clinic Kasungu,NA,lcGa2ZnUlen
Fpam Clinic Kawale,834,xH7lnew9T1J
Fpam Clinic Mzuzu,816,OfoleksJLJl
Fpam Clinic Neno,893,niuHkgX6xQs
Fpam Clinic Ntcheu,887,OLX4puVMTHb
Fulirwa Health Centre,176,UNLZJ1Nr3sq
Gaga Health Centre,177,ilA4dQOCNDP
Ganya Health Centre,889,eWHvY4VmR4R
Gate way Clinic,NA,rBhHYqxxhyM
Gawanani Health Centre,179,GEb1hObhM4q
Gika Clinic,NA,VGwB7sXLiHF
Ginnery Corner BLM,NA,ZatKYtoIX0O
Gogo Nazombe health centre,976,cTMzhKP8OCf
Gogode Health Centre,180,HcsIEmls8R2
Gola Dispensary,181,u4cfHib3TrT
Golomoti Health Centre,182,DuvCctg3dhx
Gombe Health Center,183,fCCBqUju3Q4
Good Hope Private Clinic,844,Rs15DgnA3YP
Gowa Health Centre,184,LDtggHdyRks
Grace Health Centre,NA,v1vDgkOvZ0w
Guilleme St Michaels Mission Hospital,185,oT0jXXNSmag
Gumba Dispensary,875,qUpaRCpnoux
H Parker Sharp Dispensary,186,KhuXq8PnptT
Hallena Oakely Health Centre,187,v6gj70cBiQE
Hara Dispensary,188,T13U7sHC0v2
Hoho Health Centre,189,ypiAvIrP9U6
Iba Dispensary,190,FZw4GOFV5X0
Ifumbo Health Centre,191,LLnCuwo5RNG
Illovo Factory Clinic,NA,qhmT1RSZunv
Iponga Health Centre,192,tyuN9XbfRHQ
Jalasi Health Centre,193,s935PXX4rN2
Jalawe Health Centre,NA,rWDOWogc1O7
Jenda Health Centre,194,Mf6Xg1PJ7hC
Jti Leaf Clinic Kanengo,847,PekPpdgGi9g
K2 Taso Clinic,NA,RcC6kifTBcF
Kabudula Rural Hospital,196,O6y74hiWU9z
Kabuwa Health Centre,197,ZDj4Y2Flile
Kabwafu Health Centre,198,sZJvRZgWusR
Kachere Health Centre,200,veqbrdZo1K1
Kachere Private Clinic,843,XyrCQrwYHQt
Kachindamoto Dispensary,NA,UoujHkWWWBq
Kadango Dispensary,NA,IRP5VaILlSr
Kadidi Health Centre,799,cLY2A4m8Jn0
Kafele Health Centre,201,LGvOkReAslr
Kafukule Health Centre,202,U0T5lPrgVEY
Kaigwazanga Health Centre,203,fELrRZgvyHN
Kakoma Health Centre,204,sYY0PQEhVU1
Kakwale Health Centre,205,fhlpdEEnGrQ
Kalemba Health Centre,206,OyDhmxtA7nb
Kalembo Health Centre,206,KNQ4RzNnZ6v
Kalikeni Private Clinic,NA,GcRdYduUYh0
Kalikumbi Health Centre,207,ZROS5WSviIN
Kalima Village Clinic,NA,ZncuS3YlCAN
Kalimanjira Health Centre,886,K26cW6KAhFP
Kalinde Health Centre,208,uzaw4ubBdwd
Kalulu Health Centre,210,a8NnsOmXWK7
Kalulu Illovo Clinic,NA,sXL607jX6A9
Kaluluma Rural Hospital,211,BOEaJ4eqVC9
Kambenje Health Centre,212,UzxhcPn4QZG
Kamboni Health Centre,213,cez54P9k6OJ
Kameme Health Centre,214,gil9su99LXX
Kamforzi Dispensary,NA,uh5ltc6TZm9
Kampanje Maternity,215,AzbGHKq4K1A
Kamphata Dispensary,216,DzmTX22yCZc
Kamsonga Health Centre,217,m9IaQF4jaPL
Kamteteka Health Centre,218,QM6V7PDrfLM
Kamuzu Academy Clinic,NA,wKP5w5OcIFj
Kamuzu Barracks Dispensary,219,P6q5ZIrXGAM
Kamwe Health Centre,220,ncumVqRrCMN
Kande Health Centre,221,zA0iPC953jV
Kandeu Health Centre,222,QIjZYskL19K
Kanengo Tobacco Processors Clinic,846,PKEeM8l1Sym
Kang'Oma Health Centre,223,o1ZjuUmv5aQ
Kangolwa Health Centre,224,OZNe80Ws0on
Kanjedza Police Clinic,948,Phf46V2Gghq
Kankao Health Centre,225,HmTVrgdnucu
Kanyama Health Centre,226,UwBTf92fAib
Kanyezi Health Centre,227,U6sLs3tOzpC
Kanyimbi Dispensary,228,AbJbZQt4UJs
Kaombe Dispensary,229,Qw8SEqwTxHk
Kaongozi Dispensary,NA,eK4PmFIrpY5
Kapanga Health Centre,230,H2ErYfEdioK
Kapelula Health Centre,231,dy2GeuSwyIq
Kapenda Health Centre,232,NItIjAcYO8y
Kapeni Dream Centre,954,NvxhlNwKlXK
Kapeni Health Centre,233,D9w3urb7GKR
Kaphatenga Health Centre,234,yM9bkHicOua
Kaphuka Health Centre,235,wGMlG6WZZ4q
Kapichila (ESCOM) Health Centre,236,xYv4hTyV9mX
Kapichira Escom Clinic,904,L05pebPpoWP
Kapire Dream Centre,NA,TZ4Ea3gK3yA
Kapire Health Centre,238,bOzeauFIWQA
Kapiri Health Centre (Nkhotakota),239,sQnNX5Nbvu7
Kapiri Mission Hospital,NA,ekYnKIXnPPj
Kaporo Rural Hospital,240,mqNSnMB7fgW
Kapyanga Health Centre,NA,D7QhLNJChdq
Karonga District Hospital,242,tjHJZDgKu6q
Kasalika Dispensary,245,TrYObnlA8UT
kasembereka Health Centre,NA,nWuBchw9R6C
Kasese Health centre,NA,JX6hyvnBrlF
Kaseye Mission Hospital,246,mTqGek9GBbM
Kasina Health Centre,247,PCWfXe1C9hK
Kasinje Health Centre,248,kW3Ro43YXwB
Kasinthula Dispensary,249,QBRXRxcbT0a
Kasitu Dispensary,250,qX2CrzT4TL1
Kasoba Health Centre,803,VDMYQuQPz2N
