Facility Name,EMR_Facility_ID,OrgUnit ID
Masm Medi Clinic,NA,LLrZXqItgML
Masm Medi Clinic Katoto,820,CwXx44tbXVF
Masm Medi Clinic Lilongwe,863,g9sKqV981QU
Masm Medi ClinicLimbe,932,GQGxBnLrP91
Matanda Health Centre,371,iVOnl6X10Ym
Matandani Health Centre,372,JKAFWLrwdji
Matapila Health Centre,373,nyBn1aFSTnl
Matawale Urban Health Centre,374,yREVcFcXe3h
Matekenya Health Centre,NA,jeNQSrVSj0c
Matiki Health Centre,375,bfDs0dTM81U
Matiya Health Centre,376,omQ3TWOHcDR
Matope Health Centre,377,GjNQ12Y2l0F
Matuli Health Centre,378,WIiA3ENQI5A
Matumba Health Centre,379,I5QjWlvvwsI
Maula Health Centre,794,W423FAKdyEK
Maula Prison Health Centre Static Art,NA,sPwxCzvUtia
Mauwa Health Centre,380,F6BWHBSv59O
Mauwa Maternity,381,BU12lO6ynbT
Mayaka Health Centre,382,JQgSk2DFvqZ
Mayani Health Centre,383,U3ExHCyHDEZ
Mazabuka Medical Centre,NA,DbMbDgGQzLw
Maziko Private Clinic,840,zR84MQKJlj4
Mazunga Private Clinic,NA,xNJfdetFsOO
Mbabvi Health Centre,384,rwyqKbu6sVj
Mbalachanda Health Centre,385,aLanDLYSxOP
Mbalanguzi Dispensary,386,gRtggG07luV
Mbang'ombe 1 Health Centre,387,AsETHxlmpIL
Mbang'ombe 2 Health Centre,388,rX8JkNx4U0A
Mbanila Health Centre,NA,ELXUlTxf8K3
Mbayani Health Center,957,ojywW0LnOe6
Mbenje Health Centre,389,GMxiZxppgwD
Mbera Health Centre,390,vHwtNk0Bvmi
Mbingwa Health Centre,391,rpW9v5wCsE6
Mbiza Health Centre,392,dmGyp0vetoz
Mbonechera Health Centre,393,iTzui2UcI8o
Mbulumbudzi Health Centre,394,SrQ8y7MhCE6
Mbulumbudzi Maternity,395,ERVjuHPNT3l
Mbwatalika Health Centre,396,KRmwm560Ldo
Mc Quire Wellness Health Centre,NA,cPOF4KdmFAR
Mchacha Dispensary,397,dttzdNvXHa5
Mchima Clinic,922,HC3bsEmqOGP
Mchinji District Hospital,399,dFFBYFnomxH
Mchoka Health Centre,402,c6WcEY1TXnq
Mdeka Health Centre,402,fQCAaNl0UMA
Mdeza Dispensary,403,jJwUNjSxgTS
MDF Secondary School Clinic,NA,ECwzZkt3Rop
Mdunga Heallth Centre,NA,H3xKaK0d3or
Merit Private Clinic,961,qXsVFrRN4BB
Mfera Health Centre,404,gMuqGSS8knm
Mganja Maternity,884,qb1Mj9bHSca
Mhalaunda Health Centre,405,inDCxEh9onL
Mhuju Rural Hospital,406,QrpvZldV7rA
Mianga estate clinic,916,oXXbb8WAC4h
Midzemba Dispensary,757,zq5yo5iRvsL
Migowi Health Centre,407,PHIvzmuxq0q
Mikolongwe Health Centre,408,ZEhFEU99s7M
Mikondo Dispensary,409,fQgxgDx2iHA
Mikundi Health Centre,410,rAdbHKHrveg
Mikuyu Adult Clinic,NA,yuC98hzOJTH
Mikuyu Young Clinic,NA,TCQVqqZMDUA
Milepa Health Centre,411,MH3qGNRGA9d
Milonde Health Centre,412,C3eAtbe8AQW
Mimosa Dispensary,413,YOhdb5QWf3k
Ming'Ongo Health Centre,414,MCQRoU5bKZ7
Minimini Dispensary,982,f8vxxriQ29H
Misamvu Dispensary,415,YDYPFwMDHNj
Misomali Health Centre,416,WPueOTAiLN1
Misuku Health Centre,417,XnBB0NztocS
Mitsidi Health Centre(Lumbira),418,xEhYcXNLUVr
Mitundu Rural Hospital,419,aVmCsQGN0r1
Mjini Dispensary,NA,QRur3iZGQxE
Mkanda Health Centre,420,FexDaTn0HFG
Mkango Dispensary,421,je3gS5u3q51
Mkhota R Growth Health Centre,422,F17kSj3t4iD
Mkhuzi Health Centre,423,K4fSBUiEBEX
Mkhwayi Health Centre,424,tRNfX43j5Mv
Mkoma Health Centre,425,y1zhkY1SAE9
Mkomaola Health Centre,983,NTtMGoNspg9
Mkumba Health Centre,427,XQ14A9f2j8N
Mkwepere Health Centre,428,RQYBvIXGsDY
Mlale Hospital,429,vlaK6dtRhxj
Mlambe Hospital,430,cmCppSqIlzN
Mlanda Health Centre,431,IvqvjIvVBaK
Mlangali Dispensary,432,a6eACcAs40A
Mlangeni Health Centre,433,ONmU8CWhzv9
Mlangeni Police Health Centre,434,ObGhlP39lGg
Mlare Dispensary,NA,o9B8rTitcGn
Mlodza SDA Dispensary,435,HYVLnrx75IO
Mlolera Womens Clinic,867,ElXrgGgPfvw
Mlolo Dispensary,436,SlyRIl4cwOF
Mlomba Health Centre,437,OUiAuB0Uc7D
Mlowe Health Centre,438,GSQ5TnX3yuJ
Mndinda Health Centre,NA,uYi2L6Go4Qf
Mnyanja Health Centre,NA,mwyB6seePPU
Monkey-Bay Community Hospital,439,rJjuBGDDPrG
Moyale Barracks Health Centre,830,S9XMFfakFVw
Moyo Wanga Pvt clinic,NA,LGJ7Iyq5M8U
Mpala Health Centre,440,w8qa58C9FGk
Mpamantha Health Centre,441,YEVlg1UBA5H
Mpamba Health Centre,442,cHhZC34cSCl
Mpasa Health Centre,443,Kxv4oNJw7DU
Mpata Health Centre,444,n7QRqzjmhbr
MPC Bwaila ART CLINIC,NA,zpInaIow7TF
Mpemba Health Centre,445,d9yZ10QgeOl
Mpepa / Chisinga Health Centre,111,GJhhq8K1EBF
Mphathi Health Centre,446,KCFtEvMrZ3Z
Mphelero Health Centre,NA,x6VWLw7WSUB
Mphepozinai Dispensary,447,D2lOPiKippv
Mpherembe Health Centre,448,XazLGbIHFsc
Mphopha Health Centre,450,hS2sYnTQbU3
Mphunzi Health Centre,451,eXOvuYIG9YP
Mpingo Health Centre,955,WaVNBxhEraz
Mpiri Health Centre,452,rl3pWoEjBn3
Mpondasi Health Centre,453,AUDheLXTT2U
Mponela Rural Hospital,454,ueVjB10KIyz
Mposa Health Centre,455,tLsbScHkeRF
Msakambewa Health Centre,456,jgFPtgYE3C8
Mseche Clinic,NA,kEalcH7WPX0
Msenjere Health Centre,457,dE9wie8cYJB
Msese Health Centre,458,Um1JMpMYGpE
Msonthe Clinic,NA,R8oMSzJ1Txe
Msumbe Health Centre,NA,hLuqNN1enth
Mtakataka Health Centre,459,wtmWonh9GZt
Mtakataka Police Health Centre,NA,Fo4Nu1Khoqq
Mtende Health Centre,460,o0hX9ak46oU
Mtendere Health Centre,461,r0KnLCBcTr3
Mtengoumodzi Private Hospital,938,P4mpxuxgOZW
Mtengowanthenga Dream Project,NA,HkbvKBQFM6B
Mtengowanthenga Hospital,462,s79dCXbcoCA
Mtenthera Health Centre,463,TIa8uoFjhcd
Mtimabii Health Centre,464,U0L0TzkTg4Y
Mtonda Health Centre,465,PxcYX4fmgXB
Mtosa Health Centre,466,tlqs0jOTw9o
Mtunthama Health Centre,467,PbfmrMdVBs3
Mtwalo Health Centre,468,JeL4xvlOwsv
Mua Health Centre,NA,CpJKFMjPNUc
Mua Mission Hospital,469,niNbaFnNCgp
Mulanje District Hospital,471,Nepy3vH3e6g
Mulanje Mission Hospital,474,MKIDkeCfVCc
Mulibwanji Hospital,475,GjCDed8EK8B
Mulomba Health Centre,476,ijqBzVGbncx
Muloza Health Centre,477,P5U57FLrPxL
Muluma Dispensary,478,jHjfJQsvt47
Mulungu Alinafe Health Centre,975,YpOsxnyWD67
Mumbwe Medical Centre,NA,atRsAeYj8bo
Mvera Mission Health Centre,481,QKnbzIuwFb6
Mvera Support Battalion Health Centre,480,aockNsOfjIt
Mwachira Private Clinic,944,f2PAHAHGZS4
Mwaiwathu Private Hospital,709,YGIGbwqnA9M
Mwandama Health Centre,996,jyoWzEvm0XC
Mwanga Health Centre,482,Js5P9ZU5K6r
Mwangala Health Centre,483,ZctUHvWm292
Mwansambo Health Centre,484,Rf1rrKDqc9l
Mwanza District Hospital,488,ojR8a0Xu9A3
Mwanza Illovo Clinic,NA,dviOrlXivOL
Mwaya Health Centre,NA,aqRm9wq0aIA
Mwayi Private,NA,i14i0hgyT2B
Mwazisi Health Centre,489,JeN3ydrU4lR
Mwima Health Centre,NA,iQmvSbGhycA
Mzalangwe Health Centre,490,tca66OfpOph
Mzambazi Rural Hospital,491,L0obMixrYsw
Mzandu Health Centre,492,zbzy1EAHemL
MZCH Administration,NA,aqXXwPBKm5w
MZCH Anaesthesia,NA,qpTxZ9rVSM1
MZCH Dental,NA,JEQMfmkXD7t
MZCH Finance,NA,rS3100micWB
MZCH HDU,NA,EQcW1vRvimd
MZCH Health Technical Support Services,NA,orwhH7mOd1V
MZCH Human Resources,NA,p3KWpkPzZE3
MZCH ICU,NA,Pac7eCYnh3A
MZCH Internal Medicine,NA,GxyJ1rhBJ5b
MZCH Medical Rehabilitation,NA,woxoVqcOSS8
MZCH Mortuary,NA,N9KEEZcocfi
MZCH Nutrition,NA,b3a8xY9DTLQ
MZCH Obs and Gynae,NA,Un609cy5Wxt
MZCH Oncology,NA,itHrcZFDWcK
MZCH One Stop Centre,NA,QKYpoFi4mxL
MZCH Opthalmology,NA,zhMjLQ4wqyF
MZCH Orthopaedic,NA,MStDtqzWNLS
MZCH Paediatric,NA,UVp6BE5BvG3
MZCH Surgical Department,NA,Ijjz00EAb72
MZCH Theatre,NA,eUSjlrkXxaj
Mzenga Health Centre,493,DCafjM4Ew3G
MZH AETC,NA,Z9eQMdFHCOd
MZH Paying Ward,NA,cSy0ziWTpJx
MZH Short Stay,NA,tsMtNUcvRPT
Mzimba District Hospital,495,H58PMzo9Xii
Mziza Health Centre,280,GaqkYT3AgFn
Mzokoto Health Centre,498,bYR9HESsWKd
Mzuzu Central Prison,829,eywf2mgdPPI
Mzuzu Police Dispensary,NA,sJQF7WPP2Ck
Mzuzu University Clinic,825,rHtjCrmXd7e
Mzuzu Urban Health Centre,500,cQ41y2ym2RV
Nainunje Health Centre,NA,UlGsSjoERdc
Naisi Health Centre,994,ncRCRH1homB
Nakalanzi Health Centre,501,yRUuIksTiLm
Nalunga Health Centre,502,jcUguNrYDmp
Namadidi Dispensary,1000,bHXisKRaXOR
Namadzi Health Centre,503,bthDRjgyzgo
Namalaka Health Centre,504,JRwvE3EiDuo
Namandanje Health Centre,505,KEPMWjMdxDG
Namanja Health Centre,506,XG7w56VzqMn
Namanolo Health Centre,507,spgBSrohYPo
Namasalima Health Centre (Mulanje),508,asiPyqS8rHs
Namasalima Health Centre (Zomba),509,mR7n2aiuf2m
Nambazo Health Centre,510,AyarnjnokWg
Nambiti II Health Centre,NA,FIHIYv39yqU
Nambuma Health Centre,511,qlkyWX9EEaw
Namikango Health Centre,512,AWytIG2qdwP
Namikoko Health Centre,513,sTjTxJqSCWE
Naming'omba estate clinic,921,VLJsrQrzivg
Namisu Dispensary,514,zgQjvfvY38A
Namitambo Health Centre,515,TArV024FtcH
Namizana Dispensary,516,OAXUYKyVuIz
Namphungo Health Centre,517,PxkHQqgxweP
Namulenga Health Centre,518,uLVlUIL4rlD
Namwera Health Centre,519,SjXKV0RvdBG
Nancholi Dispensary,520,Q90Za7zl8zB
Nancholi YO Palliative Care site,NA,D5r4oBqr9BN
Nandumbo Health Centre,NA,tVpkUqyzg60
Nangalamu Health Centre,521,xSi6MZN3hAK
Nankhwali Health Centre,522,oS0WaJ5v6t4
Nankumba Health Centre,523,cnUCvDXttIv
NAPHAM Clinic,708,iQKnRKmqARP
Naphimba Health Centre,524,akhqt6Z6B7x
Nasawa Health Centre,525,RicJ2qmCw3g
Nathenje Health Centre,526,AgYrPo8MW5I
Nayuchi Health Centre,528,fwctySB9ovz
Nchalo Hunger (MoH),NA,nXFq0fzH08I
Ndakwela Health Centre,529,EdY8ZVRq9ST
Ndamera Health Centre,530,pSYB6OucIkn
Ndaula Health Centre,531,Pw6JwUkqdlF
Ndimoyo Palliative Care Centre,NA,j49yi7OyTf6
Ndirande BLM,NA,zizB8oIwvOJ
Ndirande Urban Health Centre,533,M5ZUfC4v8GV
Ndunde Health Centre,534,YxzE6eiZh7V
Neno District Hospital,535,Rmh4wKR794k
Neno Parish Health Centre,536,I4Vox6oteWl
New Statehouse Dispensary,537,s0Wy1UgxpqI
Newa / Mpasazi Health Centre,538,XkcRltXu9tK
Ng'onga Health Centre,814,CyLPblDfB5N
Ngabu Rural Hospital,539,r1idesX7bX6
Ngabu SDA Health Centre,NA,yJV9qRDSt9V
Ngala Health Centre,540,tTaiG5Qrcyr
Ngana Health Centre,541,Cas9rlkSOQn
Ngapani Health Centre,542,VWvs8SJXcRe
Ngodzi Health Centre,543,LTFJhIOv3VP
Ngokwe Health Centre,544,UltcvVpNf8r
Ngoni Health Centre,545,U1sHpxxw4WH
Ngwelero Health Centre,547,grLzTEcg70S
Njuyu Health Centre,547,CZXbHCpGcTW
Nkalo Health Centre,548,Phu68UfvSy0
Nkasala Health Centre,549,TOHfssdeOr9
Nkhalango Private Clinic,550,N4dbtgJAnhw
Nkhamenya Hospital,551,QcCfOxMgWJN
Nkhande Dispensary,552,cGvhk2ChRaA
Nkhata Bay District Hospital,554,Cr4BIZYc1Ks
Nkhatabay Private Clinic,807,UhakMoxPLoa
Nkhataombere Maternity,557,cW0qFAm1C3P
Nkhoma Hospital,558,wPja49DJa2A
Nkhorongo Health Centre,559,dz2aFcg1wHo
Nkhotakota District Hospital,561,eLLoifuK7RA
Nkhulambe Health Centre,564,IFWkUcZya9D
Nkhunga Health Centre,565,RQX6rnfUsBD
Nkhwazi Health Centre,567,BogAIA30ZjT
Nkomaula Health Centre,NA,PY3CbMBy53P
Nkombedzi Health Centre,902,cjXYVRHJjQn
Nkope Health Centre,568,jrlOSjcDYGN
Nkula Health Centre,569,cfzBcWqPOoy
Nkula/Tedzani Clinic,NA,OH6iMGjGTbZ
Nkumaniza Health Centre,NA,bwhjLosc8k8
NRC,NA,rIFUCMVM6i2
Nsabwe Dispensary,570,zUquZgXa6Rm
Nsambe Sda Health Centre,571,HxziIaDjatq
Nsanama Health Centre,572,DLSIRdTyKv3
Nsanje District Hospital,574,tVuIhivYk9N
Nsaru Health Centre,577,lxulWQBn6fT
Nsipe Health Centre,578,DZq9bb4C1Jn
Nsiyaludzu Health Centre,579,GYlTZXKcHxA
Ntaja Health Centre,580,Ybh0Ww4WWVx
Ntcheu District Hospital,582,irf8hxUohn5
Ntchisi District Hospital,586,qXwx6gQyNBv
Nthalire Health Centre,589,I6ZujG9AVcl
Nthenje Health Centre,590,mEYFrYZrHrN
Ntholowa Health Centre,NA,VSHsslABmXE
Nthondo Health Centre (Lilongwe),591,yzgU0YKoHnq
Nthondo Health Centre (Ntchisi),592,xQBYdqlCMvU
Nthungwa Health Centre,593,qXonH3FiBYn
Nyamanda Pvt Clinic,850,yqRWtPJP1BG
Nyambadwe Private Hospital,946,CedL5WOqd2I
Nyambi Health Centre,594,ZD6zoYO03cf
Nyamithuthu Health Centre,595,zCPRlak2MqT
Nyanja Health Centre,NA,BoFpWeZOB2l
Nyungwe Health Centre,596,xr2MuALneJH
Nzama Health Centre,597,xiPaD8Vsm7n
Ofesi Health Centre,598,bWYHqt0OcHy
Padley Pio Health Centre,NA,ZqRS6PkibPM
Paracchute dispensary,NA,Y4g17ECjSHt
Partners In Hope Clinic Moyo Clinic (public),703,FHaAx124JwD
Partners In Hope ClinicDalitso Clinic(private),703,oAbzoo8jsNn
Pensulo Health Centre,953,xN8oZzMyC33
Phalombe Health Centre,600,zDFhyylZv3c
Phalombe Mission Holy Family Hospital,604,m03CECb09qZ
Phalula Health Centre,605,Xp3wYJuLYue
Phanga Dispensary,NA,fzNTz7Gcejn
Phimbi Health Centre,606,OmkxKPS11ej
Phirilongwe Health Centre,607,IXMfufQaORA
Phokera Health Centre,608,t0NplMFqDph
Pim Health Centre,609,nCX7iqBMNwM
Pirimiti Health Centre,610,X3O5uAX04Z9
Police (Area 30) Dispensary,611,PbvsqIcWCec
Police College Dispensary,612,BVyPLf3Mm43
Police College Health Centre,613,xv1ibnyVokh
Police Hospital,NA,QwBJxR5kKa1
Polytechnic Clinic,939,nFIyDVJHSgo
Press Cooperation Clinic,NA,abwaidMcPpQ
PSI,NA,NGuDniOCUN5
qech Anaesthesia and Intensive Care Department,NA,xR6l67TETM8
qech Clinical Support Services,NA,Cv9mzdDWJ4k
qech Dental Department,NA,ubxoYJhDkDr
qech Management Department,NA,wJh3Ny3R0Po
qech Medical Department,NA,hPt56azxpFU
qech Neurosurgery Department,NA,l3JLs9yhxbV
qech Obs and Gynae Department,NA,Xke4dPY463J
qech Oncology department,NA,W2dOG7yPSYg
qech one stop centre,NA,KrmJyodYZUR
qech Ophthalmology Department,NA,L3msdyyEwrq
qech Orthopaedic Department,NA,SwqpCcvs88O
qech Paediatric Department,NA,v7couup1r8U
qech Paediatric Surgery,NA,JmJ2730IHKf
qech Rehabilitation & Palliative,NA,p58inz2GiwQ
qech Surgical Department,NA,aXdTEa1tZyk
Queen Elizabeth Central Hospital,614,UAl6raBTebe
Raiply Clinic,615,G6HYLoDmHdT
Raiply Dispensary,615,uOxLo7wYTRA
River of Life Clinic,NA,WU9qmsrke3o
Ruarwe Health Centre,616,kKaGzpI0IKd
Rumphi District Hospital,618,ELlvUH7sci2
Ruo Dispensary,995,ZbuBESAP1bq
Sadzi Health Centre,995,BuyHhYha5dP
Salima District Hospital,622,D4HrpFEtQRq
Sambakusi Health Centre,NA,VQ55OUjplL7
Sambankhanga Health Centre,915,SykBimJT1V2
Sandama Health Centre,NA,miqv8CSP673
Sangilo Health Centre,625,r0Elt6wypHg
Sanjika Clinic,950,H64Mae6Suyl
Sankhulani Health Centre,626,xhQxgh1GSkX
Santhe Health Centre,627,B1gKsva7Nw4
Satemwa Clinic,924,S0KCNuAkdMR
Senga Bay Baptist Dispensary,628,ceJLGDr1eVI
Senzani Health Centre,629,FWZnvXYdJV6
Sharpe Valley Health Centre,630,Wwu7pZG2KuR
Shifa Private Clinic,959,CMTihDdVodi
Simlemba Health Centre,631,xcRa7FraazI
Sinyala Dispensary,632,OojoWe533hy
Sister Teleza Community Hospital,633,QJKJi4blhkg
Soche Maternity,635,AiR2MD63tCb
Soche SDA Dispensary,962,nKzxabl3RpR
Somba Health Centre,NA,HrORTH4UNrp
Sorgin Health Centre,636,tWHl2Y9tGSe
Sos Childrens Village Blantyre,NA,rrTE8OcL49T
SOS Clinic,720,qJRzJoylexL
South Lunzu Health Centre,638,OJhXyqgy2Qm
Sr Marthas Health Centre,646,hwx0GuqLuBN
Ssh Clinic,864,u9OaAjL9cih
St Andrews Community Hospital,NA,WEXi1SR3Ps6
St Annes Health Centre,640,fA5VQVs3L2A
St Augustin Anglican Clinic (Shayona),NA,VQ1v5jwMz7G
St Gabriels Hospital,641,M438IpmrFy5
St Johns Mission Hospital,642,DJ8gHyjgiVL
St Johns of God Mental Hospital,643,Q9p5l8Liv8c
St Josephs Mission Hospital(Nguludi),546,jm5VShYSJ35
St Josephs Mitengo Health Centre,644,plC4nwLdlbf
St Lukes Hospital,645,rohhSzKgCbr
St Martin Hospital,647,RfcuOXpbcam
St Martins Molere Health Centre,649,POK4qrJEUda
St Montfort Hospital,650,a8NecI8jzqL
St Patricks Health Centre(Rumphi),651,F5rBhJR8YzL
St Peters (Likoma) Rural Hospital,652,CsyzgID0Nif
St Peters Hospital,653,rLCi8itMAng
St Vincent Health CentreChadzunda,929,q4hK217Rtbr
St. Annes Mission Hospital,640,pqKNCtpevif
St. Faith Health Centre,NA,TfUBwEL4ESW
St. John of God Mental Hospital (Lilongwe),NA,yftleYsvzyI
St. Kizito Dispensary,NA,ZEdyB0IvOj3
State House Dispensary,654,CKRqkhgVqwJ
Sukasanje Health Centre,656,pix1qzSosTb
sunrise clinic,822,hyQSe6rVikw
Tachira Private Clinic,852,PEHVxojxzOF
Tcharo Health Centre,657,BU7rorTM59N
Tedzani Clinic,NA,PfE0xKirf0K
Tedzani Escom Clinic,894,sKN6JyTFe9M
Tembwe Health Centre,658,tfkK9FkHh3n
Tengani Health Centre,659,O4OnTZDe6YW
Thambani Health Centre,660,OfoB1qVuiwI
Thavite Health Centre,661,or37YlPVkxQ
The Clinic,839,oF4LyJn1q4E
Theatre For Change Clinic,NA,G5c744Vg7aq
Thekerani Rural Hospital,662,INxuyEdPFCm
Thembe Health Centre,663,Y06YIhXv9wY
Thomas Health Centre,664,TKKQUXqRrrr
Thondwe Health Centre,665,WSD1egGlSlf
Thonje Health Centre,666,V75SGRWLZNR
Thuchila Health Centre,667,xIfDdYzRS5G
Thumbwe Health Centre,800,tlDXiuRLOpw
Thunduwike Health Centre,668,O6DhPzoQAUm
Thunga Health Centre,920,RCNInuIslmh
Thyolo District Hospital,670,Obpw5vLlCtg
Tikondane Private Clinic,897,Kash20S32hR
Tiyese Private Maternity,880,lrb5YjvXHcf
Trinity - Fatima Hospital,673,iRQXiwCxsE8
Tsangano Health Centre,674,rLjop5TPyxt
Tsoyo Dispensary,675,NZE1wxbWvTa
Tukombo Health Centre,NA,WzvT614Stek
Tulonkhondo Health Centre,676,UDVA59g76b9
Ukwe Health Centre,677,Q8nVnVo1NOY
Ulongwe Health Centre,678,GlTM0PVLNMX
Umoyo Private Clinic,837,c07BSKSIfAF
Umunthu Foundation,NA,S9hz5mgJUjI
UNC,NA,vaCqY6Cv5G4
Unilever South East Company Clinic,NA,m6YZsECSfOK
United Bus Company Clinic,NA,FPRoiJAvYTh
Usisya Health Centre,679,Wh3m13Uzsn7
Utale 1 Health Centre,680,uKJ1hfxCykV
Utale 2 Health Centre,681,cPO0zV087kQ
Vibangalala Dispensary,682,BtjLFnqUPEj
Vizara Dispensary,NA,duwtTjuHUih
Waruma Health Post,NA,uBmhSlPGXCC
Wenya Health Centre,683,M7TlHaVIPLz
Wezi Medical Centre,817,yr54vCUBTIZ
Wiliro Health Centre,684,kUmwU0N12O7
Wimbe Health Centre,685,bPKUlNCxhvT
World Medical Fund,NA,bLAoLBIwbSn
Yankho Private Clinic,NA,TLPAp986efZ
zalewa Dispensary,896,NW5K84KJ4xp
Zch Other stand alone,NA,VYfQekEKBIZ
Zch Aenaesthesia & Intesive care department,NA,HN4CYqvaz2x
Zch Dental department,NA,cDCaEJPNMiV
Zch Dermatology,NA,aHZkp6KyuD7
Zch Medical department,NA,v0T5VTooRPO
Zch Obs and Gyna department,NA,IJmW4oX63UE
Zch Opthalmology,NA,xtnqzBUBo3g
Zch Orthopaedic department,NA,ulVyxasEb0Y
Zch Paediatric deparment,NA,CiDTMMjTXxC
Zch Surgical department,NA,DOwQkYSluOZ
Zilindo Health Centre,997,P3bvgqs7mIQ
Zingwangwa BLM Clinic,NA,g9d246Hnb7w
Zingwangwa Urban Health Centre,686,gTkYqxfVTM0
Zoa Dispensary,687,i6PjWckrs7y
Zoa Health Centre,923,iaUfnrbzQ9d
Zolozolo Health Centre,NA,B9FD1zCgB3t
Zomba Central Prison Clinic,695,A8FCrw9vdEI
Kamuzu Central Hospital,696,RY0I8Ha0azq
Mzuzu Central Hospital,499,EQg6N2v2TXj
Queen Elizaberth Central Hospital,614,aimBmvkBWy3
Zomba Central Hospital,689,uJG4WFdUJSv
Zomba Mental Hospital,694,S1l6Df6SvLL
