OrgUnit ID,OrgUnit Name
Z6krawIPDu7,Chilumba Barracks Health Centre
uHPXBdcz85N,Chilumba Rural Hospital
zrabwOPiaCV,Chima Health Centre
WraUiby57xZ,Chimaliro Health Centre
Qt4jxB7puZZ,Chimatiro Health Centre
JCrM0zdamqT,Chimbalanga Health Centre
ZaZEarjsHQX,Chimembe Health Centre
VbO2d6WVW6Q,Chimoto Health Centre
G5HX22BSHz2,Chimvu Health Centre
REoFvVbcLG0,Chimwala Dispensary
ZOUGIF58iaF,Chimwamkango Dispensary
IeJAi0sDcso,Chimwawa Health C
alk7M7pmalI,Chinamwali Private Clinic
AnxpWhqWpXn,Ching'oma Dispensary
o0hXXoxJnMI,Chingale Health Centre
mTERmNgVCmE,Chingazi Health Centre
Pl1TeNOgCAr,Chinguluwe Health Centre (Ntchisi)
EiQqa3YIjqD,Chinguluwe Health Centre (Salima)
RTw32nxbRoB,Chinkhwiri Health Centre
P4Z5FpCJ4Ri,Chinthebe Dispensary
jkmHTPe5MLQ,Chintheche Rural Hospital
QZm8o1i8tW4,Chinthembwe Health Centre
dCOqnRxMAXD,Chinyama Dispensary
TxWRIMbBOpS,Chinyama Health Centre
jnrlLIULfCR,Chiole Dispensary
RNuiMEnAfC1,Chioshya Health Centre
xJQqTtpdsHP,Chipho Health Centre
imXmafCgb5n,Chipini Health Centre
wrDImy8FHpR,Chipoka Health Centre
VphQvehsaVR,Chiponde Health Centre (Mangochi)
eNs19G9xMyc,Chipumi Health Centre
pkMXL4XF9ie,Chipwaila Health Centre
WiVCsIgUw2D,Chipwanya St Josephs Health Centre
lsrGqZfICKm,Chiradzulu District Hospital
tDldFfYwnS1,Chirimba Health Centre
pmteRCqzbeC,Chiringa Health Centre
sqMFC2sNuGZ,Chiringa Maternity
QX85XzKEJjg,Chisala Health Centre
u57H3XRjoRa,Chisansu Health Centre
pw9cneMv5fA,Chisepo Health Centre
rtb22Ro8Gez,Chisi Health Centre
PWPeexIOdmn,Chisitu Health Centre
Lb0qop7gLSH,Chisoka Health Center (Closed)
T3MNLfsBtT4,Chisoka Health Centre
LdZk69me50d,Chisunga Dispensary
d92FGpiO9lP,Chitala Health Centre
mTaqm2jDRGp,Chitawira Private Hospital 
Xc3odqjv7h0,Chitedze Health Centre
u4mqH5iShLL,Chitekesa Health Centre
mxsHHN4zZft,Chitera Health Centre
Sf6KvkaT3UQ,Chitheka Health Centre
KkApQFpVIaQ,Chithumba Health Centre
rdHVTY312fc,Chitimba Health Centre
qzGX4XdWufs,Chitipa District Hospital
b3OduOhZKuu,Chitowo Health Centre
AMklHWTt6sX,Chitsimuka Health Centre
ybAxvKHkzhK,Chiumbangame Health Centre
y87TEluIKWT,Chiunda Dispensary
HTfgCPyMHUx,Chiunjiza Health Centre
RDvTBoMA8m4,Chiwamba Health Centre
vCGIve5RtyE,Chiwe Health Centre
ivq1pAeZs5o,Chiwoza Health Centre
HrQHweMv09u,Chiyendausiku Health Centre
e1HOrMxNhpf,Chizolowondo Health Centre
Kzo3T3VQUwH,Chizumulo (St Marys) Health Centre
XXjX57Xslam,Chizumulo St Marys Health Centre
cIJ6LCvgpw0,Choma Health Centre
TusMbw27jzb,Chonde Rural Hospital
LkjXIWw5W9v,Chongoni Health Centre
n18VsHigwU8,Chulu Health Centre
cKd7jidUXBo,City Assembly Dispensary
lAWnwgQl9RP,City Centre Clinic
DMxPrQcg4z4,City Clinic Zomba
rzzi29nBvbs,Cobbe Barracks Hospital
JaTdpYBBV5m,Comfort Health Centre
VDu3RkKQEZb,Concerned Youth Organisation
w2BaEat71Qr,COPRED
LKsJWFXsxOB,Daeyang Luke Hospital
OV47ojciSpV,Dai Halima (Bangwe Madina)
EiLdri7MySb,Dambe Health Centre
FoWBNiRRWnB,David Gordon Memorial Hospital (Livingstonia Mission Hospital)
Jkj2HAJ5db9,David Gordon Memorial Hospital(closed)
K5sEB29YW3W,Dedza District Hospital
BWBOtEvaMkr,Diamphwe Health Centre
aKJzwDfSJqM,Dickson Health Centre
AJu1RgcA1JG,Didi Health Center (Closed)
AkP3EOq0hGk,Didi Health Centre
saJaR27j6yW,Discovery Medi Clinic 
SOwb9qUKJnt,Dolo Health Centre
mZRwUTkeUC1,Domasi College Clinic
U0YwDhBOZeY,Domasi Rural Hospital
kG4jZtoHH8f,Doviko Dispensary
F4aQvPL4c5a,Dowa District Hospital
KvtV3ZtJGyR,Dr David Livingstone Memorial Clinic
O7D48utczxD,Dr Msachi's Clinic 
xhINxzjVJ0c,Dream
GFQSwXAzql8,Dwambazi Rural Hospital
w6VRxc89b5K,Dwangwa Cane Growers Limited Dispensary
n89uKexauZq,Dwangwa Health Centre
pveDNK0q3s7,Dzalanyama Dispensary
b1RogeavIPD,Dzaleka Refugee Camp Health Centre
nMp06ehwoOX,Dzenje Health Centre
hpUbeZgjQkx,Dzenza Health Centre
phlM33pe5Bz,Dzimbiri Dispensary
QL1C4nvZVLn,Dzindevu Health Centre
axZoBBHwZo2,Dziwe Health Centre
hnbxxugq3Ds,Dziwe Health Centre
fH7hgQtTEvy,Dzonzi-Mvai Health Centre
lykzV97DJgq,Dzoole Health Centre
mxlb6XxX6cp,Dzunje Dispensary
gWTmNAQxkV8,Edingeni Rural Hospital
RdbkvuyiIKf,Ehehleni Dispensary
AlGl0pjBwFS,Ekwaiweni Health Centre
jcv5nI6bzTq,Ekwendeni Mission Hospital
NFzZGVmGCoN,El-barakah Private Clinic
ySElKKfe6yc,Embangweni Hospital
ihG7TCzUsYI,Emfeni Health Centre
HFKrnnX40ZR,Emsizini Health Centre
J3iNTezM5iw,Endindeni Health Centre
Tt5yMX4YCYJ,Engucwini Health Centre
nmptn9bUYXv,Enukweni Health Centre
